admin1Name_en,admin1Pcode,admin2Name_en,admin2Pcode,admin3Name_en,admin3Pcode,AoC,total_population,unable_to_meet_basic_needs,emergency_shelter_needs,target
Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,NW,190917,15273.36,9499.698736,24773
Aleppo,SY02,Jebel Saman,SY0200,Daret Azza,SY020004,NW,69217,5537.36,3444.117849,8981
Aleppo,SY02,Al Bab,SY0202,Al Bab,SY020200,NW,202118,16169.44,10057.04107,26226
Aleppo,SY02,Al Bab,SY0202,Tadaf,SY020201,NW,19708,1576.64,980.6358925,2557
Aleppo,SY02,Al Bab,SY0202,Ar-Ra'ee,SY020203,NW,24833,1986.64,1235.647002,3222
Aleppo,SY02,Al Bab,SY0202,A'rima,SY020206,NW,47453,3796.24,2361.178963,6157
Aleppo,SY02,Afrin,SY0203,Afrin,SY020300,NW,187868,15029.44,9347.985785,24377
Aleppo,SY02,Afrin,SY0203,Bulbul,SY020301,NW,33268,2661.44,1655.35797,4317
Aleppo,SY02,Afrin,SY0203,Jandairis,SY020302,NW,103764,8301.12,5163.116641,13464
Aleppo,SY02,Afrin,SY0203,Raju,SY020303,NW,47749,3819.92,2375.90741,6196
Aleppo,SY02,Afrin,SY0203,Sharan,SY020304,NW,55667,4453.36,2769.893354,7223
Aleppo,SY02,Afrin,SY0203,Sheikh El-Hadid,SY020305,NW,11720,937.6,583.1668693,1521
Aleppo,SY02,Afrin,SY0203,Ma'btali,SY020306,NW,26143,2091.44,1300.83033,3392
Aleppo,SY02,A'zaz,SY0204,A'zaz,SY020400,NW,296528,23722.24,14754.71889,38477
Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,NW,101606,8128.48,5055.738304,13184
Aleppo,SY02,A'zaz,SY0204,Mare',SY020403,NW,71363,5709.04,3550.899087,9260
Aleppo,SY02,A'zaz,SY0204,Nabul,SY020404,NW,48370,3869.6,2406.807293,6276
Aleppo,SY02,A'zaz,SY0204,Suran,SY020405,NW,97327,7786.16,4842.822687,12629
Aleppo,SY02,Menbij,SY0205,Menbij,SY020500,NW,305311,24424.88,15191.74574,39617
Aleppo,SY02,Jarablus,SY0208,Jarablus,SY020800,NW,88547,7083.76,4405.945118,11490
Aleppo,SY02,Jarablus,SY0208,Ghandorah,SY020801,NW,29724,2377.92,1479.014678,3857
Hama,SY05,As-Suqaylabiyah,SY0502,Ziyara,SY050202,NW,3787,302.96,188.4345507,491
Hama,SY05,As-Suqaylabiyah,SY0502,Madiq Castle,SY050204,NW,8359,668.72,415.9293396,1085
Lattakia,SY06,Lattakia,SY0600,Rabee'a,SY060002,NW,402,32.16,20.00282265,52
Lattakia,SY06,Al-Haffa,SY0603,Kansaba,SY060303,NW,1694,135.52,84.29050142,220
Idleb,SY07,Idleb,SY0700,Idleb,SY070000,NW,301377,24110.16,14995.99672,39106
Idleb,SY07,Idleb,SY0700,Bennsh,SY070002,NW,58541,4683.28,2912.898609,7596
Idleb,SY07,Idleb,SY0700,Saraqab,SY070003,NW,1614,129.12,80.30984019,209
Idleb,SY07,Idleb,SY0700,Teftnaz,SY070004,NW,24210,1936.8,1204.647603,3141
Idleb,SY07,Idleb,SY0700,Maaret Tamsrin,SY070005,NW,322116,25769.28,16027.93339,41797
Idleb,SY07,Idleb,SY0700,Sarmin,SY070006,NW,17786,1422.88,885.0005066,2308
Idleb,SY07,Al Ma'ra,SY0702,Kafr Nobol,SY070203,NW,494,39.52,24.58058306,64
Idleb,SY07,Harim,SY0703,Harim,SY070300,NW,79017,6321.36,3931.748849,10253
Idleb,SY07,Harim,SY0703,Dana,SY070301,NW,1153807,92304.56,57411.43481,149716
Idleb,SY07,Harim,SY0703,Salqin,SY070302,NW,211589,16927.12,10528.3016,27455
Idleb,SY07,Harim,SY0703,Kafr Takharim,SY070303,NW,36178,2894.24,1800.154522,4694
Idleb,SY07,Harim,SY0703,Qourqeena,SY070304,NW,103436,8274.88,5146.79593,13422
Idleb,SY07,Harim,SY0703,Armanaz,SY070305,NW,80297,6423.76,3995.439429,10419
Idleb,SY07,Jisr-Ash-Shugur,SY0704,Jisr-Ash-Shugur,SY070400,NW,115497,9239.76,5746.930367,14987
Idleb,SY07,Jisr-Ash-Shugur,SY0704,Badama,SY070401,NW,59312,4744.96,2951.262231,7696
Idleb,SY07,Jisr-Ash-Shugur,SY0704,Darkosh,SY070402,NW,89053,7124.24,4431.1228,11555
Idleb,SY07,Jisr-Ash-Shugur,SY0704,Janudiyeh,SY070403,NW,60067,4805.36,2988.829722,7794
Idleb,SY07,Ariha,SY0705,Ariha,SY070500,NW,105178,8414.24,5233.474828,13648
Idleb,SY07,Ariha,SY0705,Ehsem,SY070501,NW,37423,2993.84,1862.103562,4856
Idleb,SY07,Ariha,SY0705,Mhambal,SY070502,NW,43613,3489.04,2170.107225,5659
